Model,MAE,MSE,RMSE,R2,MAE_Score,RMSE_Score,R2_Score,Overall_Score
Linear Regression,127560.12370640527,30177381015.567646,173716.38096497304,0.6124418764141657,1.0,1.0,1.0,1.0
XGBoost,182929.14750000005,45721769933.49636,213826.494928707,0.41281043065639433,2.0,2.0,2.0,2.0
Random Forest,256212.6157728969,72953819285.48198,270099.646955493,0.06307822749377145,4.0,3.0,3.0,3.3000000000000003
Naive Forecast,243362.3326666667,80017408766.88301,282873.4854433745,-0.027637116020637453,3.0,4.0,4.0,3.7
ARIMA,287770.44935627934,91489678920.51561,302472.60854582454,-0.174971687291682,5.0,5.0,5.0,5.0
